price,location,area,year,rooms,level,state
279 900 zł,"Kraków, Bieńczyce, os. Na Lotnisku","36,41 m²",1975,2,4,do zamieszkania
295 000 zł,"Kraków, Bieńczyce, gen. Leopolda Okulickiego",31 m²,2013,1,6,do zamieszkania
299 000 zł,"Kraków, Bieńczyce, os. Albertyńskie","39,25 m²",1963,2,4,do wykończenia
309 000 zł,"Kraków, Bieńczyce","36,60 m²",1970,2,2,do zamieszkania
309 000 zł,"Kraków, Bieńczyce, os. Strusia",37 m²,1970,2,2,do zamieszkania
310 000 zł,"Kraków, Bieńczyce, os. Albertyńskie",37 m²,1970,2,1,do zamieszkania
315 000 zł,"Kraków, Bieńczyce, os. Strusia","36,60 m²",1960,2,2,do zamieszkania
320 000 zł,"Kraków, Bieńczyce","38,19 m²",1973,2,parter,do remontu
340 000 zł,"Kraków, Bieńczyce, os. Albertyńskie","39,51 m²",1975,2,parter,do zamieszkania
345 000 zł,"Kraków, Bieńczyce, os. Józefa Strusia",38 m²,1969,2,7,do zamieszkania
345 000 zł,"Kraków, Bieńczyce, os. Na Lotnisku",37 m²,1979,2,3,do remontu
348 900 zł,"Kraków, Bieńczyce, os. Przy Arce","46,65 m²",1979,2,> 10,do zamieszkania
348 900 zł,"Kraków, Bieńczyce, os. Przy Arce","47,65 m²",1970,2,> 10,do remontu
354 000 zł,"Kraków, Bieńczyce, os. Jagiellońskie",43 m²,1970,2,parter,do zamieszkania
359 000 zł,"Kraków, Bieńczyce",44 m²,1970,2,1,do remontu
360 000 zł,"Kraków, Bieńczyce, osiedle Przy Arce",46 m²,1975,3,2,do zamieszkania
360 000 zł,"Kraków, Bieńczyce",47 m²,1974,3,2,do remontu
360 000 zł,"Kraków, Bieńczyce, os. Jagiellońskie",43 m²,1970,2,parter,do zamieszkania
360 000 zł,"Kraków, Bieńczyce, os. Przy Arce",46 m²,1975,3,2,do remontu
365 000 zł,"Kraków, Bieńczyce, Elżbiety Łokietkówny",44 m²,1960,2,5,do zamieszkania
370 000 zł,"Kraków, Bieńczyce",52 m²,1950,2,parter,do remontu
379 000 zł,"Kraków, Bieńczyce, os Kazimierzowskie",38 m²,1981,2,10,do remontu
379 000 zł,"Kraków, Bieńczyce, os. Strusia","46,90 m²",1974,3,4,do zamieszkania
379 000 zł,"Kraków, Bieńczyce, os. Albertyńskie","48,50 m²",1965,3,2,do zamieszkania
515 000 zł,"Kraków, Krowodrza, Rusznikarska",63 m²,1997,3,parter,do zamieszkania
159 000 zł,"Kraków, Krowodrza, Łobzów, ul. Kronikarza Galla",16 m²,1970,1,suterena,do zamieszkania
169 000 zł,"Kraków, Krowodrza, Łobzów, Józefa Friedleina","18,72 m²",1940,1,suterena,do zamieszkania
199 000 zł,"Kraków, Krowodrza",12 m²,2018,1,parter,do zamieszkania
200 000 zł,"Kraków, Krowodrza, Stanisława Konarskiego","16,20 m²",1930,1,parter,do zamieszkania
210 000 zł,"Kraków, Krowodrza, Rusznikarska",21 m²,2000,1,7,do zamieszkania
217 000 zł,"Kraków, Krowodrza, Radzikowskiego 56","21,70 m²",2020,1,parter,do wykończenia
240 000 zł,"Kraków, Krowodrza, Oboźna",25 m²,1955,1,parter,do remontu
240 000 zł,"Kraków, Krowodrza, Oboźna","23,70 m²",1960,1,parter,do zamieszkania
248 000 zł,"Kraków, Krowodrza, al. Juliusza Słowackiego",18 m²,1905,1,3,do zamieszkania
248 000 zł,"Kraków, Krowodrza, al. Juliusza Słowackiego",18 m²,1905,1,3,do zamieszkania
250 000 zł,"Kraków, Krowodrza, Wrocławska",25 m²,1960,1,parter,do zamieszkania
261 000 zł,"Kraków, Krowodrza, ul. Eljasza Walerego Radzikowskiego","26,10 m²",2020,1,parter,do wykończenia
280 000 zł,"Kraków, Krowodrza, Stanisława Konarskiego","16,20 m²",1930,1,2,do zamieszkania
280 000 zł,"Kraków, Krowodrza, Adama Vetulaniego","25,51 m²",2021,1,parter,do wykończenia
286 235 zł,"Kraków, Krowodrza","24,89 m²",2021,1,1,do wykończenia
287 528 zł,"Kraków, Krowodrza, Piaskowa","22,64 m²",2019,1,2,do wykończenia
287 528 zł,"Kraków, Krowodrza, Stelmachów","22,64 m²",2019,1,2,do wykończenia
288 150 zł,"Kraków, Krowodrza","25,50 m²",2021,1,parter,do wykończenia
