price,location,area,year,rooms,level,state
550000,8,48.0,2015,2,7,2
364000,7,41.09,1973,2,1,2
412000,8,36.0,2018,1,0,1
329000,8,35.91,1970,2,1,2
415000,8,39.0,1960,2,5,2
429000,8,48.32,1958,2,0,2
375000,8,47.0,1976,3,1,0
320000,8,36.0,1970,2,1,2
530000,7,48.5,2020,3,5,2
560454,8,64.42,2022,4,4,1
577538,8,59.54,2022,3,5,1
394345,8,41.51,2022,2,5,1
414578,8,42.74,2022,2,5,1
533985,8,55.05,2022,3,5,1
309677,8,32.77,2022,2,1,1
357204,8,35.02,2022,2,1,1
351208,8,33.77,2022,2,1,1
390530,8,39.85,2022,2,1,1
311315,8,32.77,2022,2,2,1
361415,8,35.26,2022,2,2,1
354255,8,33.9,2022,2,2,1
393114,8,39.91,2022,2,2,1
312954,8,32.77,2022,2,3,1
363178,8,35.26,2022,2,3,1
355950,8,33.9,2022,2,3,1
395109,8,39.91,2022,2,3,1
619458,8,72.03,2022,4,4,1
358595,8,33.99,2022,2,4,1
397403,8,39.94,2022,2,4,1
700922,8,72.26,2022,4,5,1
559845,8,64.35,2022,4,5,1
426955,8,50.23,2022,3,1,1
349248,8,34.24,2022,2,1,1
350574,8,34.37,2022,2,1,1
605358,8,71.64,2022,4,1,1
429044,8,46.89,2022,2,1,1
399329,8,50.23,2022,3,2,1
353010,8,34.44,2022,2,2,1
612425,8,72.05,2022,4,2,1
433872,8,47.16,2022,2,2,1
401840,8,50.23,2022,3,3,1
354732,8,34.44,2022,2,3,1
356380,8,34.6,2022,2,3,1
616028,8,72.05,2022,4,3,1
436230,8,47.16,2022,2,3,1
403547,8,50.13,2022,3,4,1
356558,8,34.45,2022,2,4,1
358731,8,34.66,2022,2,4,1
603204,8,71.81,2022,4,4,1
438495,8,47.15,2022,2,4,1
606042,8,70.47,2022,4,5,1
403920,8,39.6,2022,2,5,1
622541,8,71.97,2022,4,5,1
587448,8,81.59,2018,3,1,1
497268,7,65.43,2021,4,1,2
466732,7,59.08,2021,3,1,2
384788,7,50.63,2021,3,1,2
366168,7,48.18,2021,2,1,2
385548,7,50.73,2021,2,1,2
794885,7,87.35,2020,4,9,1
381498,7,48.91,2020,2,0,1
492896,7,67.52,2021,2,9,1
385440,7,48.18,2021,2,0,1
451962,7,59.08,2021,3,0,1
330000,8,30.5,2015,1,3,2
341500,16,34.41,2019,2,0,2
255000,16,32.2,1970,2,2,0
480000,16,56.59,2002,3,0,1
345000,16,34.0,2019,2,0,2
480000,16,56.6,2002,3,0,1
255000,16,32.2,1970,2,2,0
341500,16,34.41,2019,2,0,2
255000,16,32.2,1970,2,2,0
374204,16,55.03,2020,3,2,1
374748,16,55.11,2020,3,2,1
360528,16,48.72,2020,3,0,1
255000,16,32.2,1970,2,2,2
469000,16,52.48,2014,2,3,2
255000,16,32.2,1970,2,2,0
195000,16,27.0,1965,1,2,1
231000,16,30.8,2021,2,3,1
370000,16,47.6,1970,2,3,2
341500,16,34.5,2019,2,0,1
319000,16,33.37,1965,3,0,2
341500,16,34.2,2019,2,0,2
255000,16,32.2,1970,2,2,0
355000,16,47.0,1960,2,0,1
355000,16,46.0,1960,2,0,2
355000,16,46.6,1960,2,0,0
355000,16,47.0,1970,2,0,0
257000,16,35.0,1963,2,3,2
374418,16,61.38,2022,3,1,1
255000,16,32.2,1970,2,2,2
341500,16,34.2,2019,2,0,2
409305,16,62.97,2022,4,1,1
369840,16,61.64,2022,3,0,1
257000,16,36.0,1963,2,3,0
402560,16,69.9,2022,3,3,1
257076,16,34.74,2022,2,3,1
364352,16,56.93,2022,3,3,1
435960,16,69.2,2022,4,2,1
272664,16,37.87,2022,2,2,1
373442,16,61.22,2022,3,2,1
436779,16,69.33,2022,4,1,1
270013,16,38.03,2022,2,1,1
374418,16,61.38,2022,3,1,1
451555,16,69.47,2022,4,0,1
271646,16,38.26,2022,2,0,1
369840,16,61.64,2022,3,0,1
303945,16,44.05,2022,2,3,1
252858,16,34.17,2022,2,3,1
370045,16,56.93,2022,3,3,1
322320,16,47.4,2022,2,2,1
267912,16,37.21,2022,2,2,1
385686,16,61.22,2022,3,2,1
323272,16,47.54,2022,2,1,1
265185,16,37.35,2022,2,1,1
374418,16,61.38,2022,3,1,1
324632,16,47.74,2022,2,0,1
270648,16,37.59,2022,2,0,1
369840,16,61.64,2022,3,0,1
375738,16,56.94,2022,3,3,1
256114,16,34.61,2022,2,3,1
299805,16,43.45,2022,2,3,1
259594,15,32.86,2020,2,0,1
433000,15,53.81,2018,3,2,2
509000,15,80.0,2018,3,0,1
430000,15,77.0,1994,3,2,1
428500,15,67.57,2016,3,2,1
447000,15,66.96,2016,4,1,1
371000,15,57.91,2016,3,3,1
347652,15,64.66,2020,4,1,1
259594,15,32.86,2020,2,0,1
319000,15,52.5,2020,3,1,1
399000,15,51.43,2009,2,0,2
592500,15,79.0,2013,3,3,2
433000,15,53.81,2018,3,2,2
447500,15,66.96,2016,4,1,1
426500,15,67.57,2016,3,2,1
371000,15,57.91,2016,3,3,1
592500,15,79.0,2013,3,3,2
480000,15,61.0,2008,2,3,2
499000,15,85.0,2019,4,1,1
379000,15,43.38,2018,2,0,2
540000,15,100.0,2019,5,1,1
619000,15,88.0,1960,4,1,0
519000,15,100.0,2019,4,1,1
479000,15,100.0,2019,4,1,1
330000,15,80.2,1976,3,1,0
408000,15,49.84,2016,3,2,2
540000,15,100.0,2019,5,1,1
448500,15,67.0,2016,3,2,2
452000,15,67.0,2016,2,2,2
350000,15,70.0,2006,3,2,2
290000,15,43.74,2021,3,0,1
280000,15,44.28,2021,2,0,1
290000,15,43.74,2021,3,0,1
290000,15,43.74,2021,3,0,1
280000,15,44.28,2021,2,0,1
290000,15,43.74,2021,3,0,1
344000,15,67.17,2021,3,1,1
325000,15,63.48,2021,2,1,1
344000,15,67.71,2021,3,1,1
344000,15,67.71,2021,3,1,1
325000,15,63.48,2021,2,1,1
344000,15,67.71,2021,3,1,1
420000,15,43.38,2018,2,0,2
543000,3,49.28,2020,3,0,2
510000,3,53.5,2015,3,1,2
93000,3,39.0,2000,1,0,0
239000,3,15.0,1927,1,1,1
239000,3,15.21,1927,1,2,1
247590,3,18.34,1950,1,1,2
247590,3,18.34,1924,1,1,0
260000,3,32.0,2019,2,2,2
266500,3,31.59,2020,1,1,1
269500,3,31.49,2020,1,3,1
275000,3,30.43,2013,2,1,2
277000,3,27.96,2020,1,2,1
277000,3,27.96,2020,1,2,2
283000,3,41.0,2021,2,0,1
284175,3,21.05,1950,1,1,2
284175,3,21.05,1924,1,1,0
290000,3,27.05,2012,1,1,2
290000,3,27.9,2004,2,6,0
290000,3,27.9,2001,2,6,0
295000,3,50.0,2021,2,1,1
299000,3,23.0,2020,1,3,2
299900,3,36.0,2020,2,2,1
299900,3,35.8,2020,1,2,1
299900,3,35.8,2020,1,2,2
299900,3,36.0,2020,1,2,0
299900,3,35.8,2020,1,2,1
300000,3,29.0,2019,1,2,2
305000,3,33.0,2000,1,1,2
313775,3,35.86,2021,2,2,1
314737,3,35.97,2021,2,2,1
314737,3,35.97,2021,2,2,1
315000,3,34.0,2003,1,6,0
318000,3,20.0,2020,1,2,2
319000,3,34.84,2004,1,1,2
319000,3,35.0,2004,1,1,2
320000,3,33.14,2001,1,0,2
320000,3,33.0,2001,1,0,2
320000,3,33.14,2002,1,0,2
324025,3,49.85,2020,2,0,1
325000,3,36.84,2020,2,0,1
579000,3,63.32,1996,3,0,2
325500,3,18.7,2020,1,3,2
325500,3,18.6,2020,1,1,2
325500,3,18.6,2020,1,2,2
459000,2,40.88,2021,2,8,1
367900,2,35.93,2020,2,2,1
249000,2,20.0,1970,1,7,2
284000,2,22.6,2019,1,1,1
287528,2,22.64,2019,1,1,2
287528,2,22.64,2019,1,2,2
299000,2,27.41,2021,1,2,1
299000,2,27.41,2021,1,1,1
299000,2,27.5,2021,1,6,1
299000,2,27.5,2021,1,5,1
302111,2,29.33,2021,1,1,1
307395,2,37.95,2022,2,3,1
310000,2,27.5,2021,2,2,1
315000,2,29.33,2021,1,6,1
317643,2,29.33,2021,1,2,1
319000,2,37.77,1975,2,4,2
319000,2,29.33,2021,1,3,1
327000,2,35.04,2020,2,0,1
327000,2,35.3,2020,2,0,1
328476,2,35.32,2021,2,0,1
330536,2,44.84,2022,2,1,1
335000,2,29.0,2021,1,10,1
245000,1,34.0,2020,2,1,1
265000,1,28.3,1999,2,2,2
135000,1,13.0,2020,1,0,2
160000,1,19.0,2020,1,0,2
170000,1,66.6,2002,3,1,2
184500,1,23.76,2022,2,3,1
195000,1,25.6,1975,1,0,2
208402,1,26.38,2022,1,3,1
209000,1,22.0,2019,1,2,2
231000,1,32.0,2020,1,0,1
233000,1,37.69,2021,2,3,1
236000,1,32.5,2020,1,4,1
243066,1,35.93,2020,2,0,1
243800,1,31.46,2022,2,0,1
243800,1,31.46,2022,2,1,1
243800,1,31.44,2022,2,0,1
244499,1,35.98,2020,2,1,1
245000,1,34.0,2020,2,1,1
245000,1,36.02,2020,2,2,1
245500,1,36.0,2020,2,2,1
249500,1,34.4,2021,2,3,1
249900,1,35.0,2021,2,4,1
250000,1,34.34,2021,2,5,1
250900,1,35.43,2021,2,1,1
253300,1,34.25,2021,2,3,1
254000,1,28.5,2020,1,1,1
254983,1,34.44,2021,2,4,1
255000,1,28.5,2020,1,1,1
255000,1,39.23,2022,2,3,1
255000,1,34.12,2021,2,4,1
255000,1,34.34,2021,2,4,1
255000,1,28.5,2022,1,1,1
255833,1,34.34,2021,2,4,1
255833,1,34.34,2021,2,4,1
256000,1,38.0,2020,2,1,1
256421,1,37.77,2021,2,4,2
256578,1,34.44,2021,2,2,1
257472,1,34.56,2021,2,0,1
259000,1,34.78,2021,2,0,1
259111,1,34.78,2021,2,0,1
259111,1,34.78,2021,2,0,1
259500,1,36.0,2021,2,4,1
262000,1,36.0,2021,2,0,1
262000,1,36.0,2020,2,4,1
263000,1,36.0,2021,2,0,1
264000,1,34.25,2021,2,2,1
265000,1,38.0,2019,2,0,1
265000,1,28.3,1999,2,2,2
265000,1,36.01,2020,2,0,1
266338,1,35.75,2021,2,2,1
266934,1,35.83,2021,2,0,1
268900,1,37.0,2021,2,2,1
269000,1,35.36,1980,1,3,0
209000,1,22.0,2019,1,2,2
399000,1,48.0,2020,3,0,2
618750,1,62.5,2014,3,6,2
270782,1,52.08,2022,2,0,1
271200,1,43.04,2022,2,0,1
272000,1,35.93,2020,2,0,1
272400,1,40.86,2022,2,0,1
273000,1,37.5,2021,2,0,1
274000,1,33.72,2020,2,1,1
274000,1,38.0,2020,2,4,1
274980,1,36.91,2021,2,4,1
275948,1,37.04,2021,2,3,1
277000,1,37.44,2020,2,1,1
277364,1,37.23,2021,2,2,1
277438,1,37.24,2021,2,0,1
277885,1,37.3,2021,2,1,1
279747,1,37.55,2021,2,4,2
280000,1,34.0,2020,2,0,2
283000,1,39.0,2020,2,0,1
283000,1,38.01,2021,2,1,1
283860,1,37.35,2021,2,0,1
284665,1,38.21,2021,2,0,1
284665,1,38.21,2021,2,0,1
284900,1,40.0,2021,2,0,1
288368,1,43.04,2022,2,3,1
289000,1,28.0,2020,1,5,1
290000,1,37.0,1970,2,1,0
290000,1,37.0,1975,2,1,0
290000,1,34.0,2020,2,0,2
290000,1,36.38,1975,2,1,0
290000,1,36.0,1980,2,1,0
290000,1,32.0,2008,1,1,2
290000,1,34.0,2020,2,0,1
292859,1,39.31,2021,2,0,2
293046,1,57.46,2022,3,3,1
293046,1,57.46,2022,3,0,1
294573,1,39.54,2021,2,0,1
295500,1,36.5,2005,1,3,2
295500,1,36.8,2005,1,4,2
295500,1,36.5,2005,1,3,2
290000,1,32.0,2008,1,1,2
375000,1,46.9,2013,2,2,2
302500,1,34.02,2021,2,3,1
305000,1,34.0,2019,2,3,2
305000,1,34.0,2020,2,0,2
317500,1,36.5,2005,1,3,2
317550,1,36.8,2005,1,3,2
318000,1,49.0,2020,3,3,1
318000,1,50.0,2020,3,0,1
318000,1,46.0,2020,2,4,1
319999,1,49.07,2020,3,2,1
319999,1,49.01,2020,3,2,1
320000,1,32.5,1980,1,6,2
320000,1,36.9,2005,2,3,2
324000,1,35.25,2021,2,2,1
325000,1,50.04,2022,3,2,1
326000,1,48.0,2020,2,2,1
327000,1,52.0,2020,3,4,1
327139,1,50.98,2021,3,4,2
327500,1,36.84,2021,2,1,1
209000,1,22.0,2019,1,2,2
539000,1,55.12,2011,2,1,2
655000,1,68.0,1975,6,3,2
669000,1,76.8,2014,4,1,2
759000,1,69.0,2014,3,0,2
820000,1,97.2,2008,5,3,2
850000,1,81.88,2001,3,3,0
874104,1,156.09,2020,5,1,1
875336,1,156.31,2020,5,1,1
875896,1,156.41,2020,5,1,1
966000,1,92.0,2000,4,3,2
295000,3,50.0,2021,2,1,1
93000,3,39.0,2000,1,0,0
239000,3,15.0,1927,1,1,1
239000,3,15.21,1927,1,2,1
247590,3,18.34,1950,1,1,2
247590,3,18.34,1924,1,1,0
260000,3,32.0,2019,2,2,2
266500,3,31.59,2020,1,1,1
269500,3,31.49,2020,1,3,1
275000,3,30.43,2013,2,1,2
277000,3,27.96,2020,1,2,1
277000,3,27.96,2020,1,2,2
283000,3,41.0,2021,2,0,1
284175,3,21.05,1950,1,1,2
284175,3,21.05,1924,1,1,0
290000,3,27.05,2012,1,1,2
290000,3,27.9,2004,2,6,0
290000,3,27.9,2001,2,6,0
295000,3,50.0,2021,2,1,1
299000,3,23.0,2020,1,3,2
299900,3,36.0,2020,2,2,1
299900,3,35.8,2020,1,2,1
299900,3,35.8,2020,1,2,2
299900,3,36.0,2020,1,2,0
